,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC1,newperSQFTvalueC1,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
270,36047032100,30798.9318,115,,257.5188377,313.7389831,95400.01,41094,0.5465,39,0.125204851,0.353838583
271,36047032300,33290.15713,86,,260.1107063,323.0570168,57398.3,53851,0.4431,40,0.165002171,0.222379604
272,36047032500,32396.5064,103,,337.7666922,443.4650613,99133.44,43245,0.4655,43,0.147432639,0.297863764
273,36047032600,7014.317636,273,,213.5660994,267.1190138,54685.24,20833,0.5036,44,0.216810967,0.190128755
274,36047032700,27789.04846,90,,399.9271816,487.7402253,36579.85,47153,0.4949,44,0.115066751,0.255573248
275,36047032800,4963.830421,75,,218.6683427,284.9505037,29154.61,45357,0.6497,50,0.197613721,0.06263048
276,36047032900,24547.86939,107,,322.120906,343.5826263,95755.61,47578,0.44,52,0.230252101,0.336625161
277,36047033000,7632.157477,116,,220.1014939,294.0558136,35450.57,23007,0.5729,55,0.277233115,0.249423963
278,36047033100,27406.11413,90,,271.0527539,317.7025085,79591.81,39301,0.4485,35,0.133272892,0.387375416
279,36047033300,35847.35218,63,,317.5511873,355.3688196,65591.31,44608,0.4379,31,0.091321611,0.294027565
280,36047033500,34760.33266,38,,310.1421049,371.568585,44652,61164,0.4205,37,0.111658456,0.182298547
281,36047033600,14447.84408,42,,228.8488643,284.2510446,15317.37,62649,0.4667,46,0.110354886,0.218773097
282,36047033700,45863.94984,81,,262.7713073,323.314801,50045.93,48114,0.4488,42,0.098404255,0.240982348
283,36047033900,41952.85739,76,,242.7298525,306.1398457,64413.3,34231,0.4662,41,0.099204492,0.385438972
284,36047034000,2764.895132,38,,,,43255,17574,0.4559,50,0.176672384,0.082317073
285,36047034100,32443.55649,46,,278.408496,354.211072,51940.22,50417,0.3981,40,0.049626105,0.309160305
286,36047034200,4902.406197,135,,140.24554,184.9751956,64738.72,16656,0.6073,49,0.253031974,0.208333333
287,36047034300,37637.90352,78,,223.5837224,285.0552322,81413.81,25019,0.5819,41,0.146044625,0.247327503
288,36047034500,37974.4418,70,,212.2463742,256.1388242,45895,31701,0.5027,41,0.157723577,0.308890926
