,GEOID,FHVdiff,NYPDviolationDiff,NYPDmisdemeanorDiff,NYPDfelonyDiff,units,C1Diff,C2Diff,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
193,36047024300,24269.06745,-1,5,3,,54.6433164,68.6678648,-1761.91236,-803,0.016,-0.74987975,0.031256349,0.005272581,-2
194,36047024400,5878.431106,3,3,9,,64.0306143,65.0815563,416.99507,-423,0.0161,1.47126437,-0.002003996,-0.00219302,-4
195,36047024500,26234.96599,5,-6,-6,,67.8368574,72.1474364,5712.44032,6133,-0.0134,-0.40180361,-0.034774828,4.75E-05,-3
196,36047024600,6544.645807,7,2,1,,58.4838053,57.6002383,-1677.92016,1106,0.0063,-0.07125307,0.022708998,0.000131465,-1
197,36047024700,26851.06033,-1,3,6,,76.6461279,47.7868724,2715.57375,3086,-0.0176,-0.10739437,-0.031970362,0,5
198,36047024800,5642.84836,9,6,14,,45.8235024,49.3189216,-117.70655,5773,-0.0144,0.54216867,-0.016770685,0.007414897,-1
199,36047024900,26493.56169,6,7,-12,,81.6887695,64.8834186,3612.23674,8471,-0.0023,-0.02396426,-0.01856097,-0.009734578,-4
200,36047025000,5562.082262,2,2,6,,23.9142178,56.085481,-2657.06989,810,-0.002,-9.01858108,-0.01832077,0,-3
201,36047025100,21775.32313,-23,-30,-16,,70.6193411,73.8911371,-916.3884,7769,-0.0415,1.44015444,-0.022278636,0,1
202,36047025200,5811.029066,-13,-3,-3,,61.7413449,58.4683923,-42.86445,65,0.0033,1.88399072,0.000467615,0,1
203,36047025300,25446.43969,-7,-1,-2,554,47.7250136,67.5354901,4337.0198,4444,-0.0065,-2.96460177,-0.003493178,0,1
204,36047025400,5625.785462,5,-12,-17,,53.9012995,65.6302907,1343.0148,-2245,0.0674,-2.61592633,-0.009207679,0,-1
205,36047025500,21798.54699,-7,-28,-29,,0,91.8517778,6407.9476,-847,0.0033,-0.37366348,0.000685588,0.005083985,0
206,36047025600,5554.735892,-10,-9,-13,,42.0774465,56.6424353,-433.45957,-5650,0.0159,1.09906676,0.01742912,0,-6
207,36047025700,28478.48088,12,12,5,,48.3472417,79.6230847,3789.46245,4226,-0.0154,-2.1184669,-0.008003063,-0.00097501,3
208,36047025800,5456.727935,-15,-10,-10,,32.6467876,42.4844016,258.66238,-909,-0.0142,1.15677492,-0.029410023,0.006013719,-2
209,36047025901,12616.11677,-1,-6,-5,,60.4402542,70.832731,2162.71081,5239,-0.0179,0.42534909,-0.00419542,-0.000348416,1
210,36047025902,9370.22808,20,28,21,,0,103.2829215,-43.4861,266,-0.0239,1.19767442,-0.108483309,0.006960891,0
211,36047026000,5220.866075,7,-5,-6,,51.7055967,33.8205912,-4118.79483,1596,0.0056,-0.5726275,-0.00862486,0.000815434,-2
