,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
98,36047013700,1.127337145,0.269230769,-0.085714286,-0.136986301,,0.172361252,0.052807037,0.066808981,0.025258911,-0.013692272,-0.080722252,0.38260208,-0.243501041,0
99,36047013800,2.203286413,0.176470588,-0.137096774,-0.230769231,,0.085853096,0.07524907,-0.060181121,0.013771488,0.011444921,-0.042969941,-0.063550993,,-0.5625
100,36047013900,1.127336632,0.384615385,-0.213333333,-0.265306122,,0.231883235,0.178731922,-0.008488418,0.079008205,-0.105411255,0.023524773,-0.260844412,0.787152766,1.2
101,36047014000,2.19699443,0.076923077,0.225,0.107142857,,0.088559251,0.068797374,0.030385189,0.035853205,0.048817531,0.047269764,-0.105774132,0.080430665,-0.6
102,36047014100,1.127333024,-0.066666667,0.079365079,0,,0.183530641,0.277686391,-0.138238286,0.1129984,0.044553444,-0.014298832,-0.352577339,-0.562938413,-0.285714286
103,36047014200,2.203284357,-0.291666667,0.505747126,0.262295082,,0.118476881,0.055357506,0.028019454,0.086002415,0.015256588,0.044296863,-0.229443563,-0.331295035,0
104,36047014300,1.127476076,-0.333333333,-0.240963855,-0.304347826,,0.244229344,0.231336766,-0.013573453,0.167556443,-0.046743817,-0.01048639,-0.049027904,-0.06227178,0.125
105,36047014500,1.520663227,-0.53125,-0.045454545,-0.094339623,,0.250360212,0.226246533,0.018761272,0.061762622,0.065422886,0.042151935,-0.21101289,1.083951212,-0.111111111
106,36047014700,1.517581071,-0.125,-0.16,-0.166666667,,0.269975113,0.110735494,0.075570346,0.002944039,0.011440108,-0.006288178,0.356306168,-0.435585515,1
107,36047014800,2.196993885,1.5,0.733333333,0.071428571,,0.130305996,0.153287622,0.064490615,-0.005026549,0.020257827,-0.050626761,0.093644076,,
108,36047014900,1.127606318,0.101694915,0.08988764,0,,0.232377841,0.222925842,0.007276432,0.000473989,0.095356551,0.040528675,0.180824968,0.095402925,-0.166666667
109,36047015000,2.19700736,-0.909090909,0.285714286,0.1875,,0.108307955,0.021220095,-0.094397099,-0.136881297,0.047122898,-0.01150546,-0.289733215,-1,-0.25
110,36047015100,1.127332984,0.625,0.225806452,0.16,,0.229697211,0.144122046,-0.032061846,0.022408043,0.033340597,0.010374678,-0.36790357,1.919026967,0.666666667
