,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
694,36047101600,5360.908924,8,18,12,,201.7073474,259.5226489,57.8153015,,,0,39396.53358,98821,0.2816,50.90153453,0.096436059,0
695,36047101800,11595.13616,13,27,18,,208.4399316,274.3276639,65.8877323,215.5743155,232.6867258,17.1124103,16251.69133,71650,0.4155,48.51891892,0.048579285,0
696,36047102000,7488.869131,12,23,18,,229.0521226,300.7757151,71.7235925,228.3185841,226.5486726,-1.7699115,35804.84155,96000,0.4244,51.33505155,0.104109589,0.009478673
697,36047102200,7765.798968,19,44,24,,242.1538523,313.1915604,71.0377081,269.2106746,292.0112014,22.8005268,33255.74561,63000,0.4358,51.71441774,0.067164179,0
698,36047102400,6825.275403,5,23,15,,211.4017384,279.7157781,68.3140397,234.6572084,249.3545599,14.6973515,39865.45707,83641,0.3381,51.78735105,0.121187801,0.010009099
699,36047102600,6481.636311,10,30,16,,187.4610518,244.2185669,56.7575151,265.4600302,331.0708899,65.6108597,46647.22321,72589,0.3852,51.1550509,0.046920821,0
700,36047102800,40013.25722,17,82,53,,193.2613203,256.0778354,62.8165151,231.6972425,235.8039073,4.1066648,4491.621639,73000,0.3838,48.49509269,0.106442577,0
701,36047103400,27334.2991,70,237,136,,,,0,268.8282688,272.5012731,3.6730043,15271.22002,23133,0.4996,56.1274935,0.202141901,0.004338948
702,36047105801,20022.05598,30,79,47,,,,0,391.7566002,524.0691023,132.3125021,36807.5695,20305,0.4564,55.80833757,0.075414124,0
703,36047105804,31574.33576,41,120,78,,166.030303,195.4646465,29.4343435,319.4549583,382.8350466,63.3800883,22011.04649,28663,0.4474,49.10536308,0.129731861,0.003286899
704,36047107000,112063.9434,31,649,386,,198.1763399,250.0594117,51.8830718,362.4823511,437.8995155,75.4171644,1158.38608,80663,0.3417,53.08297568,0.133004926,0.051593323
705,36047107800,17958.17304,23,68,40,,253.3895087,303.7267783,50.3372696,351.18163,452.976898,101.795268,21864.07622,63563,0.3541,57.5564409,0.122905028,0
706,36047109800,30390.50358,60,151,96,,222.7484657,250.5785931,27.8301274,339.1560096,398.3808522,59.2248426,6833.533622,46701,0.4469,59.3877551,0.133699634,0.008421986
707,36047110400,26384.54566,96,355,221,,226.1751232,263.8405945,37.6654713,364.7219909,449.4467692,84.7247783,17073.27973,45278,0.4738,49.84496124,0.126998224,0.011326194
708,36047110600,6063.31651,72,167,107,,,,0,403.0166758,522.0817271,119.0650513,64865.91085,22321,0.5133,54.2972973,0.123488224,0.01123327
709,36047111000,4368.01525,47,105,62,,,,0,421.756487,515.7684631,94.0119761,71461.27998,16449,0.6376,48.91328211,0.233809924,0.018111639
710,36047111600,17712.68096,43,142,76,,230.1377933,247.5418837,17.4040904,376.1041134,481.7311925,105.6270791,19882.59586,37917,0.5398,50.31275386,0.088904694,0.003715499
711,36047111800,5753.348949,55,111,70,,230.1134029,238.5991351,8.4857322,399.7384954,444.1115213,44.3730259,49355.4447,35313,0.5484,41.71471173,0.177993528,0.006578947
712,36047112000,6132.724235,43,125,89,,228.0284112,256.796021,28.7676098,288.310622,315.9339582,27.6233362,45945.02517,25669,0.5353,37.64876033,0.134839151,0
713,36047112200,11033.87139,50,151,97,,219.8077895,250.6606144,30.8528249,387.9969083,469.3525968,81.3556885,60805.70819,29699,0.4993,53.54330709,0.077831828,0.007692308
714,36047112400,6304.719265,59,190,120,,232.6386974,255.144967,22.5062696,331.2807796,355.9123091,24.6315295,46018.60031,44489,0.4989,52.35220649,0.084936961,0.004149378
