,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,BBLE_x,CUR_FV_T_x,GR_SQFT_x,NEW_FV_T_x,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,BBLE_y,CUR_FV_T_y,GR_SQFT_y,NEW_FV_T_y,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Median_house_Value,Median_Rent,Housing_Units,Total_pop,Pop_Den,Median_Household_Income,Ratio_income_to_poverty_level_under_2,Gini_Index,Ave_Commute_Min,Dropout_16_19,Bachelor_up_25_64,Unemployed_rate_16,Occupied_Housing_Units_2015_,Occupied_Housing_Units_2010_2014,Occupied_Housing_Units_2010_before,Black,White,Asian
470,36047054700,116241.7232,34,97,60,216,3021501176,980076.9231,3299.115385,1227461.538,318.3857446,392.8903109,3021434472,1138131.297,25393.54237,1348759.661,240.4298641,284.3519957,533300,1464,1676,5071,77975.19,39773,3062,0.5019,34,0.099656357,0.372192099,0.066754502,0.003180662,0.351145038,0.6456743,0.051469138,0.812660225,0.051469138
471,36047054800,8429.166841,,16,13,,3068023653,874876.7908,1949.750716,944303.7249,472.0309765,511.9843555,3067845485,2123000,36807.36364,2269727.273,188.2827668,211.8345001,753500,1240,799,2193,32789.77,58906,801,0.5489,39,0,0.532071504,0.074152542,0,0.1796875,0.8203125,0.012767898,0.935248518,0.043319653
472,36047054900,133919.1379,25,82,55,75,3024161166,879542.8571,2778.571429,1127057.143,347.9649508,445.4792669,3023371585,1264537.272,18154.20253,1436835.443,233.4238996,279.3570775,1064100,2269,1463,3480,46193.37,68043,1582,0.5478,31,0,0.53513262,0.062734082,0.025925926,0.456296296,0.517777778,0.022126437,0.766091954,0.054022989
473,36047055000,8751.982781,10,44,29,,3067951922,890188.0342,2178.269231,998846.1538,446.4872061,506.0824176,3067917051,1270017.857,24690.625,1404214.286,216.6882676,242.1634355,518900,1156,1551,3744,53927.48,42993,1887,0.4703,43,0,0.446601942,0.053333333,0.021843003,0.344709898,0.633447099,0.006410256,0.814369658,0.087606838
474,36047055100,159970.7629,38,132,92,,3024125395,1213456.693,2904.818898,1507700.787,433.0634054,535.0570131,3024097751,1145524.739,13237.16514,1319500,249.1968174,302.9208903,1036500,1205,2400,6138,68645.54,63613,2122,0.4499,33,0,0.541635595,0.107004394,0,0.376718213,0.623281787,0.110622353,0.659661127,0.027207559
475,36047055200,8159.219344,26,116,87,,3067965721,710994.152,2140.842105,793906.4327,349.4399183,399.7515001,3067879839,1619865.979,18086.7732,1730917.526,229.8605437,244.8868992,437900,1174,1479,3179,49105.52,41850,1317,0.4785,46,0,0.421166307,0.102515723,0,0.234227701,0.765772299,0.003774772,0.787983643,0.201635735
476,36047055300,134642.3881,34,175,114,88,3023462287,1030000,2734.537736,1203481.132,423.8156893,489.33183,3023405472,1221419.637,11417.33333,1491501.158,234.9364138,289.6689596,711500,1929,1509,2899,48047.45,80909,605,0.4346,34,0,0.717080153,0.048098946,0.025874126,0.472027972,0.502097902,0.00103484,0.76612625,0.121766126
477,36047055400,10783.25039,28,124,79,,3067864467,742818.1818,2475.654545,876496.9697,319.6528128,381.1946284,3067855310,1482060,15737.43333,1640533.333,227.5614154,242.9366052,561400,1301,1714,4028,61620.85,51830,1651,0.4144,37,0.090361446,0.404621849,0.090659341,0.007166124,0.34723127,0.645602606,0.007696127,0.752730884,0.120158888
478,36047055500,223679.7072,40,167,103,761,3023536597,1054942.857,2868.257143,1287894.743,384.0553911,471.103209,3023500019,1581466.535,35122.10465,2168594.471,229.5172019,276.1485282,945300,2387,2975,5178,51249.65,108190,1066,0.4677,37,0,0.757949224,0.042234697,0.020590521,0.753690754,0.225718726,0.057358053,0.717651603,0.125144844
479,36047055600,12305.56526,9,33,23,,3071112832,854927.4924,2379.456193,914141.994,393.5645083,426.8472759,3069221319,1893372.881,17744.54237,2113203.39,214.4679725,240.4513832,594400,1334,1373,3591,48140.24,50066,1637,0.4291,37,0,0.431438127,0.093340611,0.03117506,0.306954436,0.661870504,0.006126427,0.819270398,0.172096909
480,36047055700,241921.498,16,95,59,,3023120879,1336714.286,2110.342857,1541457.143,733.0702378,811.3422884,3023047926,1871236.62,17194.88028,2185368.725,241.6495719,301.6309528,933900,1862,1254,2384,21857.21,92222,617,0.5954,35,0,0.683057189,0.066441441,0.013513514,0.516891892,0.469594595,0.023909396,0.841862416,0.088087248
481,36047055800,8351.600036,5,35,19,,3071254962,730075.1634,2076.980392,850745.098,374.4219959,438.6981259,3070689442,2589478.261,28629.30435,2763086.957,221.2968364,242.0116003,656800,1140,1004,2244,33864.14,53233,1035,0.4659,38,0.05027933,0.338118022,0.108132261,0,0.166097838,0.833902162,0,0.779857398,0.205882353
482,36047056000,8990.327906,4,37,21,,3070770800,780696.9697,1772.406061,915463.6364,461.2308372,545.1718685,3070622797,2314892.857,46593.78571,2453357.143,226.0145688,257.7359249,564100,1260,1504,3681,51602.94,45788,1680,0.4607,52,0,0.497017893,0.084002471,0,0.303558967,0.696441033,0.015484923,0.843520782,0.139092638
483,36047056100,96640.29962,22,177,119,,3025904858,907182.5095,2650.064639,1167349.81,360.6226563,466.4254958,3026018497,1079149.573,9640.064103,1228111.111,254.1174609,317.0258294,742500,1658,1586,3003,22772.41,80000,704,0.4111,38,0,0.703010949,0.055607477,0.00473613,0.294993234,0.700270636,0.044955045,0.842157842,0.063936064
484,36047056200,8312.050513,2,12,7,,3070894788,790238.4106,1788.980132,878556.2914,459.3839543,515.7565473,3068320039,489000,3803,516000,158.4848485,165.4545455,678600,2200,604,1519,23032.02,66250,466,0.4458,34,0,0.541984733,0.045901639,0.007312614,0.091407678,0.901279707,0,0.842659645,0.157340355
485,36047056300,97912.01543,45,136,82,93,3025146816,888927.6316,2634.644737,1127181.579,354.0188904,452.516226,3025080258,1052631.611,14140.13808,1407016.134,237.3899138,266.250839,795600,1448,2180,4519,30029.75,66591,1644,0.557,39,0,0.610998553,0.068842922,0.006763285,0.271497585,0.72173913,0.016596592,0.741093162,0.105775614
