,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Pop_Den_15,Median_Household_Income_15,Gini_Index_15,Ave_Commute_Min_15,Unemployed_rate_15,Moved_in_4years_15,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF
171,36047021600,8502.469656,6,31,22,,377.4173423,411.0912162,226.6319743,279.8654647,68654.44,35682,0.449,36,0.046065259,0.023690205,70579.47489,37679,0.4807,38.41864018,0.068880689,0.008222222,1925.03489,1997,0.0317,2.41864018,0.02281543,-0.015467983
172,36047021700,27754.68815,34,141,86,,358.282849,455.2826238,717.4329909,816.8153545,84487.65,54595,0.4628,38,0.101073345,0.007995873,84530.93425,58289,0.473,36.97889182,0.047196262,0.008268734,43.28425,3694,0.0102,-1.02110818,-0.053877083,0.000272861
173,36047021800,7978.962305,11,29,20,,371.6489992,413.8961101,223.2960224,275.8374655,72027.99,35721,0.5192,28,0.042243263,0,71896.70179,30694,0.5925,28.76262626,0.068914956,0,-131.28821,-5027,0.0733,0.76262626,0.026671693,0
174,36047021900,34132.03865,21,92,59,,321.2016782,408.7449149,699.1708702,865.4951036,63708.3,55758,0.4419,40,0.08310992,0,64095.79643,60203,0.4394,38.12058527,0.071585419,0.00275558,387.49643,4445,-0.0025,-1.87941473,-0.011524501,0.00275558
175,36047022000,9822.176334,13,76,47,,335.4718051,356.2630259,199.8222947,259.0154705,57497.82,30861,0.4463,36,0.054144385,0,60497.35491,31121,0.4473,35.80215827,0.066298343,0.003409091,2999.53491,260,0.001,-0.19784173,0.012153958,0.003409091
176,36047022100,34816.36714,24,134,83,36,280.6416429,357.1205607,716.2891422,864.9989465,73472.76,37140,0.5144,43,0.124249249,0,69311.31285,43011,0.569,41.26553953,0.121050472,0,-4161.44715,5871,0.0546,-1.73446047,-0.003198777,0
177,36047022200,8907.350456,15,56,32,,284.7376148,319.0363559,203.5923778,256.8658162,66504.94,35094,0.4473,29,0.052190722,0.027657143,61447.97357,29931,0.4294,27.07086614,0.037117904,0.033448106,-5056.96643,-5163,-0.0179,-1.92913386,-0.015072818,0.005790963
178,36047022400,8876.04705,6,31,18,,324.0945351,365.4035003,209.3956936,256.3078016,88233.52,37271,0.4179,39,0.022792023,0,86964.82408,39839,0.4465,34.64124436,0.029023747,0,-1268.69592,2568,0.0286,-4.35875564,0.006231724,0
179,36047022600,7896.279382,20,60,33,,329.0868004,375.0322254,263.8907487,330.1982222,40430.21,48269,0.3732,41,0.019493177,0.004286327,37926.12707,44097,0.3896,46.00492611,0.039558418,0.010304659,-2504.08293,-4172,0.0164,5.00492611,0.020065241,0.006018332
180,36047022700,83032.75423,36,214,129,100,261.7200122,336.2888946,207.3878865,239.8802985,40072.04,53363,0.4959,38,0.123353819,0.00353069,42729.17019,72762,0.5109,38.05285868,0.113199837,0.005065856,2657.13019,19399,0.015,0.05285868,-0.010153982,0.001535166
181,36047022800,8462.553855,11,21,16,,345.0685972,402.3713773,257.1476299,326.4485658,52102.13,30913,0.485,32,0.092964824,0.004210526,51266.51424,31875,0.4801,33.48428835,0.067246835,0.005195599,-835.61576,962,-0.0049,1.48428835,-0.025717989,0.000985073
182,36047022900,59263.65698,24,57,43,,297.3314881,360.565379,236.1488722,284.3823272,56975.15,51645,0.4616,37,0.080257511,0.002170963,56055.7135,60625,0.4494,37.0526057,0.061081304,0.001919386,-919.4365,8980,-0.0122,0.0526057,-0.019176207,-0.000251577
183,36047023000,7631.540377,8,33,22,,333.5769977,391.2746636,242.9355698,301.8444208,65748.71,31102,0.4753,34,0.067443286,0.002403204,71050.47588,36667,0.4809,33.78880097,0.046461372,0.002478315,5301.76588,5565,0.0056,-0.21119903,-0.020981914,7.5111E-05
184,36047023100,54981.58219,8,85,63,,430.224301,557.2544406,258.6551867,319.5406357,56961.73,77039,0.4149,40,0.118165785,0,57432.89547,70903,0.4566,38.2830385,0.096788385,0,471.16547,-6136,0.0417,-1.7169615,-0.0213774,0
